,,,," "
"Date-Time","Call-Incident Type","Incident No.","Full Address",
"07/17/2014 00:04:16","T","2014-00041532","SAN PABLO AVE/GILMAN ST",
"07/17/2014 00:05:19","T","2014-00041533","BANC/FULTON / ",
"07/17/2014 00:09:41","1062B","2014-00041537","600 BLOCK NORTHAMPTON AVE",
"07/17/2014 00:10:51","415","2014-00041535","2700 BLOCK SACRAMENTO ST",
"07/17/2014 00:14:45","415","2014-00041542","900 BLOCK EL CAMINO REAL ",
"07/17/2014 00:18:47","1033A","2014-00041539","2100 BLOCK CENTER ST",
"07/17/2014 00:22:46","459","2014-00041540","1300 BLOCK ASHBY AVE",
"07/17/2014 00:25:10","T","2014-00041538","DURANT AVE/ELLSWORTH ST",
"07/17/2014 00:29:58","SEC","2014-00041541","SACRAMENTO ST/ALLSTON WAY",
"07/17/2014 00:59:27","FIRE","2014-00041544","2400 BLOCK ASHBY AVE",
"07/17/2014 00:59:27","FIRE","2014-00007701","2400 BLOCK ASHBY AVE",
"07/17/2014 01:00:36","AID","2014-00041543","2400 BLOCK ASHBY AVE",
"07/17/2014 01:11:56","T","2014-00041546","ASHBY AVE/DEAKIN ST",
"07/17/2014 01:26:27","T","2014-00041548","ASHBY AVE/TELEGRAPH AVE",
"07/17/2014 01:27:12","SEC","2014-00041549","2300 BLOCK TELEGRAPH AVE",
"07/17/2014 01:36:28","415","2014-00041554","2400 BLOCK ASHBY AVE",
"07/17/2014 01:40:09","415E","2014-00041550","2200 BLOCK DWIGHT WAY",
"07/17/2014 01:49:44","SUSVEH","2014-00041551","SHATTUCK AVE/HEARST AVE",
"07/17/2014 01:49:59","415E","2014-00041555","2500 BLOCK DURANT AVE",
"07/17/2014 01:56:48","BMCVIO","2014-00041553","1300 BLOCK BAY VIEW PL",
"07/17/2014 02:05:45","SUSCIR","2014-00041552","2300 BLOCK HASTE ST",
"07/17/2014 02:23:00","1033A","2014-00041556","2100 BLOCK FOURTH ST",
"07/17/2014 02:35:20","1033A","2014-00041557","2200 BLOCK SHATTUCK AVE",
"07/17/2014 02:43:35","T","2014-00041558","SHATTUCK AVE/CENTER ST",
"07/17/2014 02:51:36","SEC","2014-00041559","2600 BLOCK DWIGHT WAY",
"07/17/2014 02:59:05","T","2014-00041560","MARKET ST/SIXTY-THIRD ST",
"07/17/2014 03:35:57","1194","2014-00041561","ASHBY AVE/SAN PABLO AVE",
"07/17/2014 03:54:50","REPO",,"1700 BLOCK CARLETON ST",
"07/17/2014 04:58:22","211","2014-00041562","UNIVERSITY AVE/BONAR ST",
"07/17/2014 06:17:45","ADVICE","2014-00041564","2200 BLOCK ASHBY AVE",
"07/17/2014 06:44:44","459A","2014-00041563","SEVENTH ST/HEARST AVE",
"07/17/2014 07:09:41","484","2014-00041565","1500 BLOCK HOPKINS ST",
"07/17/2014 07:15:05","W911","2014-00041569","1000 BLOCK FOLGER AVE",
"07/17/2014 07:34:59","SEC","2014-00041566","DWIGHT WAY/HILLEGASS AVE",
"07/17/2014 07:38:52","SEC","2014-00041567"," / ",
"07/17/2014 07:39:33","SUSPER","2014-00041568","2400 BLOCK CEDAR ST",
"07/17/2014 07:51:24","AID","2014-00041572","3000 BLOCK ASHBY AVE",
"07/17/2014 08:01:37","1042","2014-00041570","2300 BLOCK SPAULDING AVE",
"07/17/2014 08:02:26","459A","2014-00041571","1700 BLOCK SAN PABLO AVE",
"07/17/2014 08:38:55","SER-PA","2014-00007710","EDITH ST/CEDAR ST",
"07/17/2014 08:38:55","SER-PA","2014-00041573","EDITH ST/CEDAR ST",
"07/17/2014 08:50:16","W911","2014-00041575","2100 BLOCK OXFORD ST",
"07/17/2014 08:55:37","SEC","2014-00041574"," / ",
"07/17/2014 08:57:17","1182","2014-00041576","M L KING JR WAY/UNIVERSITY AVE",
"07/17/2014 08:58:20","W911","2014-00041577","100 BLOCK BERKELEY SQ",
"07/17/2014 09:04:07","PRKVIO","2014-00041578","2300 BLOCK CHANNING WAY",
"07/17/2014 09:15:11","415","2014-00041579","1400 BLOCK ARCH ST",
"07/17/2014 09:25:28","530 5","2014-00041580","800 BLOCK PERALTA AVE",
"07/17/2014 09:30:31","1181","2014-00041581","ALCATRAZ AVE/COLLEGE AVE",
"07/17/2014 09:30:36","RECOVR","2014-00041582","700 BLOCK EUCLID AVE",
"07/17/2014 09:35:39","415","2014-00041588","1700 BLOCK SIXTY-SECOND ST",
"07/17/2014 09:37:58","415","2014-00041583","COLLEGE AVE/ALCATRAZ AVE",
"07/17/2014 09:44:17","10851","2014-00041584","JOSEPHINE ST/HOPKINS ST",
"07/17/2014 09:46:09","415","2014-00041586","2100 BLOCK BANCROFT WAY",
"07/17/2014 09:49:57","1148","2014-00041604","2100 BLOCK M L KING JR WAY",
"07/17/2014 09:52:25","459A","2014-00041591","2200 BLOCK BLAKE ST",
"07/17/2014 09:56:39","SUSPER","2014-00041585","2600 BLOCK M L KING JR WAY",
"07/17/2014 10:00:27","A911","2014-00041587","1000 BLOCK CEDAR ST",
"07/17/2014 10:12:57","459A","2014-00041616","1700 BLOCK HIGHLAND PL",
"07/17/2014 10:18:30","415","2014-00041589","2000 BLOCK ALLSTON WAY",
"07/17/2014 10:20:31","SUSCIR","2014-00041590","SAN PABLO AVE/BANCROFT WAY",
"07/17/2014 10:25:35","1057AR","2014-00041599","1600 BLOCK ALCATRAZ AVE",
"07/17/2014 10:45:02","T","2014-00041592","1800 BLOCK ADDISON ST",
"07/17/2014 10:57:02","PRKVIO","2014-00041612","2100 BLOCK MILVIA ST",
"07/17/2014 10:57:02","PRKVIO","2014-00041593","2100 BLOCK MILVIA ST",
"07/17/2014 10:58:28","20002","2014-00041602","OXFORD ST/CENTER ST",
"07/17/2014 10:59:29","ADVICE","2014-00041594","1000 BLOCK UNIVERSITY AVE",
"07/17/2014 11:04:19","1124","2014-00041595","2100 BLOCK FIFTH ST",
"07/17/2014 11:11:32","602L","2014-00041601","2500 BLOCK HILLEGASS AVE",
"07/17/2014 11:15:19","415","2014-00041600","1400 BLOCK OREGON ST",
"07/17/2014 11:15:37","FLAG","2014-00041596","1100 BLOCK UNIVERSITY AVE",
"07/17/2014 11:23:00","PRKVIO","2014-00041597","2700 BLOCK FULTON ST",
"07/17/2014 11:36:09","PCVIO","2014-00041618","3200 BLOCK BOISE ST",
"07/17/2014 11:38:21","5150","2014-00041603","2400 BLOCK BANCROFT WAY",
"07/17/2014 12:02:31","ADVICE","2014-00041661","1700 BLOCK HIGHLAND PL",
"07/17/2014 12:12:35","AID","2014-00041606","3000 BLOCK TELEGRAPH AVE",
"07/17/2014 12:13:30","415","2014-00041607","2600 BLOCK TELEGRAPH AVE",
"07/17/2014 12:14:45","W911","2014-00041610","2900 BLOCK RUSSELL ST",
"07/17/2014 12:21:04","1042","2014-00041608","2500 BLOCK TELEGRAPH AVE",
"07/17/2014 12:21:14","W911","2014-00041613","1200 BLOCK ASHBY AVE",
"07/17/2014 12:24:08","647F","2014-00041609","TELEGRAPH AVE/PARKER ST",
"07/17/2014 12:25:36","W911","2014-00041611","1800 BLOCK HOPKINS ST",
"07/17/2014 12:45:32","415","2014-00041615","SHATTUCK AVE/CEDAR ST",
"07/17/2014 12:48:05","415","2014-00041614","2100 BLOCK M L KING JR WAY",
"07/17/2014 12:51:24","1124","2014-00041617","1300 BLOCK ALLSTON WAY",
