"Date-Time","Call-Incident Type","Incident No.","Full Address"
"07/18/2014 00:00:59","415E","2014-00041740","OXFORD ST/CENTER ST"
"07/18/2014 00:02:20","1194","2014-00041739","DURANT AVE/TELEGRAPH AVE"
"07/18/2014 00:17:31","415E","2014-00041743","2600 BLOCK SAN PABLO AVE"
"07/18/2014 00:37:10","5150","2014-00041744","2100 BLOCK RUSSELL ST"
"07/18/2014 01:02:11","415E","2014-00041745","2600 BLOCK SAN PABLO AVE"
"07/18/2014 01:05:54","BMCVIO","2014-00041748","2900 BLOCK CLAREMONT AVE"
"07/18/2014 01:07:48","415E","2014-00041746","2500 BLOCK DURANT AVE"
"07/18/2014 01:10:38","T","2014-00041747","1200 BLOCK ASHBY AVE"
"07/18/2014 01:23:01","415E","2014-00041749","300 BLOCK OAKVALE AVE"
"07/18/2014 01:50:48","SEC","2014-00041750","2400 BLOCK DURANT AVE"
"07/18/2014 02:21:18","1033A","2014-00041751","1600 BLOCK SHATTUCK AVE"
"07/18/2014 02:35:56","415","2014-00041752","2100 BLOCK HASTE ST"
"07/18/2014 03:05:24","1067","2014-00041753","DWIGHT WAY/MCGEE AVE"
"07/18/2014 03:18:03","415E","2014-00041754","2700 BLOCK MATHEWS ST"
"07/18/2014 03:18:39","REPO",,"1300 BLOCK BERKELEY WAY"
"07/18/2014 03:30:27","459A","2014-00041755","NINTH ST/GILMAN ST"
"07/18/2014 04:23:50","5150","2014-00041756","700 BLOCK HARRISON ST"
"07/18/2014 04:38:37","SEC","2014-00041757"," / "
"07/18/2014 05:00:22","602L","2014-00041758","1700 BLOCK FOURTH ST"
"07/18/2014 05:12:57","SEC","2014-00041759"," / "
"07/18/2014 05:15:31","SEC","2014-00041760"," / "
"07/18/2014 06:01:33","SUSCIR","2014-00041761","2800 BLOCK SHATTUCK AVE"
"07/18/2014 06:07:13","PRKVIO","2014-00041762","1700 BLOCK VINE ST"
"07/18/2014 06:23:42","415","2014-00041763","2400 BLOCK CHANNING WAY"
"07/18/2014 06:38:45","10851","2014-00041764","800 BLOCK GRIZZLY PEAK BLVD"
"07/18/2014 06:55:11","484","2014-00041765","1500 BLOCK WARD ST"
"07/18/2014 07:23:05","PRKVIO","2014-00041767","600 BLOCK SANTA ROSA AVE"
"07/18/2014 07:23:29","415","2014-00041766","3200 BLOCK ADELINE ST"
"07/18/2014 07:26:15","W911","2014-00041769","1400 BLOCK SIXTH ST"
"07/18/2014 07:33:04","1033A","2014-00041768","1500 BLOCK UNIVERSITY AVE"
"07/18/2014 07:46:14","602L","2014-00041771","2000 BLOCK FOURTH ST"
"07/18/2014 07:49:16","415","2014-00041770","1400 BLOCK HARMON ST"
"07/18/2014 07:59:55","459A","2014-00041777","1100 BLOCK OXFORD ST"
"07/18/2014 08:07:55","FLAG","2014-00041772","MILVIA ST/DWIGHT WAY"
"07/18/2014 08:08:34","RECOVR","2014-00041773","1000 BLOCK GRIZZLY PEAK BLVD"
"07/18/2014 08:17:17","647J","2014-00041778","2400 BLOCK TELEGRAPH AVE"
"07/18/2014 08:20:43","1124","2014-00041775","FIFTH ST/ALLSTON WAY"
"07/18/2014 08:23:04","FOUND","2014-00041774","ALLSTON WAY/M L KING JR WAY"
"07/18/2014 08:35:52","415","2014-00041779","2600 BLOCK M L KING JR WAY"
"07/18/2014 08:41:36","1124","2014-00041780","600 BLOCK THE ALAMEDA "
"07/18/2014 08:42:58","PRKVIO","2014-00041783","2200 BLOCK NINTH ST"
"07/18/2014 08:48:37","415","2014-00041787","2300 BLOCK NINTH ST"
"07/18/2014 08:49:09","1042","2014-00041781","COLLEGE AVE/RUSSELL ST"
"07/18/2014 08:51:50","415","2014-00041782","1400 BLOCK SEVENTH ST"
"07/18/2014 09:04:58","415","2014-00041784","1900 BLOCK SHATTUCK AVE"
"07/18/2014 09:08:04","23103","2014-00041788","1800 BLOCK SOLANO AVE"
"07/18/2014 09:10:16","1033A","2014-00041785","1300 BLOCK UNIVERSITY AVE"
"07/18/2014 09:35:31","T","2014-00041786","1900 BLOCK HASTE ST"
"07/18/2014 09:42:23","T","2014-00041789","PARKER ST/SHATTUCK AVE"
"07/18/2014 09:44:31","AID","2014-00041790","1700 BLOCK NINTH ST"
"07/18/2014 10:04:33","1056","2014-00041791"," / "
"07/18/2014 10:07:29","1124","2014-00041795","VINCENTE AVE/VISALIA AVE"
"07/18/2014 10:08:09","459A","2014-00041797","1100 BLOCK THE ALAMEDA "
"07/18/2014 10:09:38","1124","2014-00041792","1100 BLOCK BANCROFT WAY"
"07/18/2014 10:15:03","SUSPER","2014-00041793","1400 BLOCK SPRUCE ST"
"07/18/2014 10:15:58","5150","2014-00041796","1600 BLOCK EUCLID AVE"
"07/18/2014 10:19:29","415","2014-00041817","3000 BLOCK KING ST"
"07/18/2014 10:21:59","ADVICE","2014-00041800","1700 BLOCK HIGHLAND PL"
"07/18/2014 10:41:50","SUSVEH","2014-00041803","1000 BLOCK CEDAR ST"
"07/18/2014 10:43:24","1042","2014-00041807","2300 BLOCK SIXTH ST"
"07/18/2014 10:44:33","SUSCIR","2014-00041799","1600 BLOCK SAN PABLO AVE"
"07/18/2014 10:44:56","T","2014-00041798","2900 BLOCK LINDEN AVE"
"07/18/2014 11:00:20","1124","2014-00041801","2100 BLOCK ROOSEVELT AVE"
"07/18/2014 11:16:22","23103","2014-00041802","M L KING JR WAY/ASHBY AVE"
"07/18/2014 11:26:09","653M","2014-00041822","2000 BLOCK FOURTH ST"
"07/18/2014 11:27:40","484","2014-00041824","2000 BLOCK KITTREDGE ST"
"07/18/2014 11:33:49","A911","2014-00041804","2400 BLOCK BANCROFT WAY"
"07/18/2014 11:40:10","10851","2014-00041805","1000 BLOCK DELAWARE ST"
"07/18/2014 11:50:19","SEC","2014-00041806","1200 BLOCK ASHBY AVE"
"07/18/2014 11:51:54","REPO",,"2000 BLOCK DURANT AVE"
"07/18/2014 11:55:37","314","2014-00041808","1300 BLOCK SHATTUCK AVE"
"07/18/2014 11:56:10","602L","2014-00041815","600 BLOCK ASHBY AVE"
"07/18/2014 12:00:24","1182","2014-00041812","DURANT AVE/BOWDITCH ST"
"07/18/2014 12:02:02","459A","2014-00041823","2300 BLOCK BANCROFT WAY"
"07/18/2014 12:02:59","PRKVIO",,"THE UPLANDS /TUNNEL RD"
"07/18/2014 12:04:29","NEW",,"2800 BLOCK ADELINE "
"07/18/2014 12:04:35","W911","2014-00041810","600 BLOCK UNIVERSITY AVE"
"07/18/2014 12:04:39","647F","2014-00041814","1200 BLOCK UNIVERSITY AVE"
"07/18/2014 12:05:50","415","2014-00041811","2400 BLOCK TELEGRAPH AVE"
"07/18/2014 12:15:41","10851","2014-00041825","EIGHTH ST/GRAYSON ST"
"07/18/2014 12:21:21","BMCVIO","2014-00041820","ANTHONY ST/SEVENTH ST"
"07/18/2014 12:23:16","459","2014-00041849","2800 BLOCK WALLACE ST"
"07/18/2014 12:24:17","594","2014-00041816","2900 BLOCK ADELINE ST"
"07/18/2014 12:38:32","FLAG","2014-00041818","TELEGRAPH AVE/DWIGHT WAY"
"07/18/2014 12:45:05","602L","2014-00041826","2000 BLOCK M L KING JR WAY"
"07/18/2014 12:48:32","SEC","2014-00041819","2100 BLOCK M L KING JR WAY"
"07/18/2014 12:49:48","5150","2014-00041831","2600 BLOCK M L KING JR WAY"
"07/18/2014 12:55:33","1124","2014-00041821","1100 BLOCK SHATTUCK AVE"
"07/18/2014 13:02:20","602L","2014-00041834","1600 BLOCK UNIVERSITY AVE"
"07/18/2014 13:05:09","1124","2014-00041827","1600 BLOCK OXFORD ST"
"07/18/2014 13:05:52","415","2014-00041832","100 BLOCK SEAWALL DR"
"07/18/2014 13:09:08","1056","2014-00041828","WARD ST/M L KING JR WAY"
"07/18/2014 13:20:50","1124","2014-00041829","1500 BLOCK OXFORD ST"
"07/18/2014 13:22:44","1124","2014-00041830","100 BLOCK THE UPLANDS "
"07/18/2014 13:40:01","10851","2014-00041850","1600 BLOCK SIXTY-SECOND ST"
"07/18/2014 13:42:49","PRKVIO","2014-00041833","1800 BLOCK RUSSELL ST"
"07/18/2014 13:44:15","415","2014-00041835","HILLEGASS AVE/WOOLSEY ST"
"07/18/2014 13:47:50","10851",,"1300 BLOCK OXFORD ST"
"07/18/2014 14:08:47","1033A","2014-00041838","3300 BLOCK ADELINE ST"
"07/18/2014 14:09:16","OUTAID","2014-00041837","CENTER ST/SHATTUCK AVE"
"07/18/2014 14:09:20","1194","2014-00041836","TELEGRAPH AVE/RUSSELL ST"
"07/18/2014 14:28:29","415","2014-00041842","1200 BLOCK MILVIA ST"
"07/18/2014 14:31:19","487","2014-00041840","GRANT ST/ALLSTON WAY"
"07/18/2014 14:31:36","PRKVIO","2014-00041839","3100 BLOCK HARPER ST"
"07/18/2014 14:34:06","1033A","2014-00041847","1000 BLOCK SIERRA ST"
"07/18/2014 14:38:12","SEC","2014-00041841","2600 BLOCK M L KING JR WAY"
"07/18/2014 14:41:16","SUSVEH","2014-00041844","1200 BLOCK MILVIA ST"
"07/18/2014 14:45:32","1196","2014-00041843","HEARST AVE/M L KING JR WAY"
"07/18/2014 14:46:38","602L","2014-00041845","1800 BLOCK UNIVERSITY AVE"
"07/18/2014 14:47:38","ILLDMP","2014-00041893","SACRAMENTO ST/ALCATRAZ AVE"
"07/18/2014 14:48:47","1124","2014-00041846","2800 BLOCK EIGHTH ST"
"07/18/2014 15:01:42","T","2014-00041848","63RD/KING / "
"07/18/2014 15:06:30","SUSCIR","2014-00041877","2900 BLOCK TELEGRAPH AVE"
"07/18/2014 15:18:07","PRKVIO","2014-00041851","EDITH ST/VINE ST"
"07/18/2014 15:19:36","242","2014-00041852","1700 BLOCK UNIVERSITY AVE"
"07/18/2014 15:20:01","23152","2014-00041856","ASHBY AVE/SACRAMENTO ST"
"07/18/2014 15:21:02","SUSCIR","2014-00041864","2700 BLOCK BANCROFT WAY"
"07/18/2014 15:25:03","1124","2014-00041853","1700 BLOCK WARD ST"
"07/18/2014 15:30:21","1033A","2014-00041855","1600 BLOCK SIXTY-THIRD ST"
"07/18/2014 15:32:54","BMCVIO","2014-00041861","PAGE ST/SEVENTH ST"
"07/18/2014 15:33:05","415","2014-00041854","1600 BLOCK SIXTY-SECOND ST"
"07/18/2014 15:35:58","HATE","2014-00041859","900 BLOCK TULARE AVE"
"07/18/2014 15:40:15","415","2014-00041858","2500 BLOCK TELEGRAPH AVE"
"07/18/2014 15:43:06","FOUND","2014-00041863","2100 BLOCK M L KING JR WAY"
"07/18/2014 15:44:57","FLAG","2014-00041857","DWIGHT WY/PROSPECT / "
"07/18/2014 15:50:27","BMCVIO","2014-00041862","COLLEGE AVE/ALCATRAZ AVE"
"07/18/2014 15:52:47","1124","2014-00041860","2900 BLOCK OTIS ST"
"07/18/2014 16:03:48","A911","2014-00041866","100 BLOCK BROOKSIDE DR"
"07/18/2014 16:08:56","242","2014-00041869","HASKELL ST/SAN PABLO AVE"
"07/18/2014 16:09:16","211","2014-00041865","2400 BLOCK DURANT AVE"
"07/18/2014 16:15:27","415E","2014-00041872","2800 BLOCK MILVIA ST"
"07/18/2014 16:15:37","20002","2014-00041867","SAN PABLO AVE/HARRISON ST"
"07/18/2014 16:23:06","415","2014-00041879","1500 BLOCK FAIRVIEW ST"
"07/18/2014 16:26:07","1194","2014-00041868"," / "
"07/18/2014 16:28:00","SUSCIR","2014-00041870","2800 BLOCK SEVENTH ST"
"07/18/2014 16:42:31","20002","2014-00041895","LA LOMA AVE/RIDGE RD"
"07/18/2014 16:47:09","1194","2014-00041871"," / "
"07/18/2014 16:47:18","5150","2014-00041873","COLLEGE AVE/DURANT AVE"
"07/18/2014 16:51:50","ANIMAL","2014-00041908","1800 BLOCK NINTH ST"
"07/18/2014 17:02:07","1196","2014-00041875","CALIFORNIA ST/TYLER ST"
"07/18/2014 17:06:52","10851","2014-00041876","2800 BLOCK SEVENTH ST"
"07/18/2014 17:25:46","487","2014-00041878","2100 BLOCK BANCROFT WAY"
"07/18/2014 17:26:49","602L","2014-00041898","2500 BLOCK DANA ST"
"07/18/2014 17:30:17","1033A","2014-00041891","1400 BLOCK STANNAGE AVE"
"07/18/2014 17:36:42","SUSCIR","2014-00041880","HASTE ST/BOWDITCH ST"
"07/18/2014 17:40:39","5150","2014-00041884","2100 BLOCK SHATTUCK AVE"
"07/18/2014 17:41:01","1196","2014-00041881","2300 BLOCK EIGHTH ST"
"07/18/2014 17:45:44","242","2014-00041906","600 BLOCK NORTHAMPTON AVE"
"07/18/2014 17:48:30","1196","2014-00041882","SEVENTH ST/UNIVERSITY AVE"
"07/18/2014 17:50:49","1194","2014-00041883","SHATTUCK AVE/KITTREDGE ST"
"07/18/2014 17:56:43","1124","2014-00041961","1400 BLOCK FIFTH ST"
"07/18/2014 18:00:38","DRUGS","2014-00041886","1500 BLOCK FAIRVIEW ST"
"07/18/2014 18:04:27","1042","2014-00041885"," / "
"07/18/2014 18:08:36","415","2014-00041889","1500 BLOCK FAIRVIEW ST"
"07/18/2014 18:09:33","1042","2014-00041887","FAIRVIEW ST/ADELINE ST"
"07/18/2014 18:12:26","T","2014-00041888","NINTH ST/GILMAN ST"
"07/18/2014 18:12:56","1033A","2014-00041892","500 BLOCK VICENTE RD"
"07/18/2014 18:29:32","PRKVIO","2014-00041894","KITTREDGE ST/MILVIA ST"
"07/18/2014 18:34:43","1042","2014-00041890","2500 BLOCK DANA ST"
"07/18/2014 18:35:51","PRKVIO","2014-00041905","1900 BLOCK CEDAR ST"
"07/18/2014 18:55:00","SUSCIR","2014-00041897","1700 BLOCK OREGON ST"
"07/18/2014 18:55:05","T","2014-00041896","SAN PABLO AVE/GRAYSON ST"
"07/18/2014 19:01:30","415","2014-00041902","300 BLOCK ROBLE RD"
"07/18/2014 19:10:17","1033A","2014-00041899","2000 BLOCK SAN PABLO AVE"
"07/18/2014 19:11:35","W911","2014-00041900","1300 BLOCK BERKELEY WAY"
"07/18/2014 19:17:01","T","2014-00041901","SHATTUCK AVE/PARKER ST"
"07/18/2014 19:24:15","1042","2014-00041904","2900 BLOCK DOMINGO AVE"
"07/18/2014 19:26:10","T","2014-00041903","SAN PABLO AVE/ASHBY AVE"
