"Date-Time","Call-Incident Type","Incident No.","Address"
"10/30/2014 00:04:36","1033A","2014-00064500","2100 BLOCK CENTER ST"
"10/30/2014 00:15:45","1033A","2014-00064501","1500 BLOCK UNIVERSITY AVE"
"10/30/2014 00:37:31","647F","2014-00064502","MILVIA ST/CENTER ST"
"10/30/2014 00:42:52","211","2014-00064503","WEBSTER ST/COLLEGE AVE"
"10/30/2014 00:58:00","ADVICE","2014-00064505","TELEGRAPH AVE/DURANT AVE"
"10/30/2014 00:59:02","415","2014-00064504","<UNKNOWN> / "
"10/30/2014 01:08:03","REPO",,"1200 BLOCK HOPKINS ST"
"10/30/2014 01:20:11","1091B","2014-00064509","2000 BLOCK STUART ST"
"10/30/2014 01:21:34","415",,"1900 BLOCK UNIVERSITY AVE"
"10/30/2014 01:46:40","273 5","2014-00064508","CONFIDENTIAL"
"10/30/2014 01:47:43","415E","2014-00064510","2300 BLOCK DURANT AVE"
"10/30/2014 02:17:57","1033S","2014-00064511","2100 BLOCK SHATTUCK AVE"
"10/30/2014 02:33:47","1194","2014-00064512","M L KING JR WAY/CHANNING WAY"
"10/30/2014 02:37:49","1033A","2014-00064514","2600 BLOCK PARKER ST"
"10/30/2014 02:43:26","SUSCIR","2014-00064513","FOURTH ST/HARRISON ST"
"10/30/2014 02:58:39","261","2014-00064516","CONFIDENTIAL"
"10/30/2014 03:07:39","415E","2014-00064515"," / "
"10/30/2014 04:06:21","T","2014-00064517","TELE/ALC / "
"10/30/2014 04:27:46","459","2014-00064518","2800 BLOCK WALLACE ST"
"10/30/2014 05:13:36","242","2014-00064519","TELEGRAPH AVE/ASHBY AVE"
"10/30/2014 05:28:48","415","2014-00064521","1900 BLOCK SHATTUCK AVE"
"10/30/2014 05:31:16","FLAG","2014-00064520","BLAKE ST/ELLSWORTH ST"
"10/30/2014 05:35:53","SEC","2014-00064522","ALLSTON WAY/SIXTH ST"
"10/30/2014 05:43:32","SUSCIR","2014-00064524","PARKER ST/FULTON ST"
"10/30/2014 05:43:45","PRKVIO","2014-00064523","ADDISON ST/SIXTH ST"
"10/30/2014 05:46:26","1033A","2014-00064525","2400 BLOCK SIXTH ST"
"10/30/2014 06:27:48","10851","2014-00064527","2200 BLOCK CHANNING WAY"
"10/30/2014 06:31:04","1194","2014-00064526","UNIVERSITY AVE/SAN PABLO AVE"
"10/30/2014 06:37:53","1194","2014-00064528","1200 BLOCK SAN PABLO AVE"
"10/30/2014 06:55:07","T","2014-00064529","NINTH ST/GILMAN ST"
"10/30/2014 07:09:02","415","2014-00064536","1500 BLOCK UNIVERSITY AVE"
"10/30/2014 07:10:25","1194","2014-00064530","1800 BLOCK SAN PABLO AVE"
"10/30/2014 07:24:40","FLAG","2014-00064531","2000 BLOCK ALLSTON WAY"
"10/30/2014 07:27:59","SEC","2014-00064532","DWIGHT WAY/BOWDITCH ST"
"10/30/2014 07:31:24","1194","2014-00064533","SHATTUCK AVE/ALLSTON WAY"
"10/30/2014 07:33:56","FLAG","2014-00064534","HIGHWAY 24 WB / "
"10/30/2014 07:34:46","5150","2014-00064535","1800 BLOCK ALCATRAZ AVE"
"10/30/2014 07:37:07","602L","2014-00064555","2300 BLOCK DWIGHT WAY"
"10/30/2014 07:49:12","415","2014-00064540","2300 BLOCK TELEGRAPH AVE"
"10/30/2014 07:51:58","1042","2014-00064539","1300 BLOCK PARKER ST"
