"Date-Time","Call-Incident Type","Incident No.","Full Address"
"08/28/2014 00:01:35","AID","2014-00050562","SHATTUCK/ADDISON / "
"08/28/2014 00:02:43","T","2014-00050563","SHATTUCK AVE/HASTE ST"
"08/28/2014 00:04:17","SUSCIR","2014-00050564","1200 BLOCK HASKELL ST"
"08/28/2014 00:08:40","415E","2014-00050565","2200 BLOCK WARD ST"
"08/28/2014 00:27:55","1194","2014-00050566","2500 BLOCK DURANT AVE"
"08/28/2014 00:31:45","T","2014-00050567","SHATTUCK AVE/ASHBY AVE"
"08/28/2014 00:34:55","415","2014-00050568","2400 BLOCK TELEGRAPH AVE"
"08/28/2014 01:00:43","ADVICE","2014-00050572","1700 BLOCK UNIVERSITY AVE"
"08/28/2014 01:23:51","AID","2014-00050571","1500 BLOCK HOPKINS ST"
"08/28/2014 01:23:54","SEC","2014-00050569","DWIGHT WAY/BOWDITCH ST"
"08/28/2014 01:24:22","SEC","2014-00050570","DURANT /BOWDITCH "
"08/28/2014 01:28:05","1033A","2014-00050574","2800 BLOCK SAN PABLO AVE"
"08/28/2014 01:32:44","FLAG","2014-00050573","ALLSTON WAY/SHATTUCK AVE"
"08/28/2014 01:39:30","SUSCIR","2014-00050575","1600 BLOCK SIXTY-SECOND ST"
"08/28/2014 01:40:16","W911","2014-00050576","3300 BLOCK ADELINE ST"
"08/28/2014 02:17:54","1194","2014-00050577","VIRGINIA/4TH ST / "
"08/28/2014 02:19:08","1042","2014-00050578","2300 BLOCK TELEGRAPH AVE"
"08/28/2014 03:08:33","1042","2014-00050579"," / "
"08/28/2014 03:35:21","1182","2014-00050580","600 BLOCK ARLINGTON AVE"
"08/28/2014 03:58:51","1033A","2014-00050581","1100 BLOCK FRANCISCO ST"
"08/28/2014 04:19:47","602L","2014-00050582","2400 BLOCK ASHBY AVE"
"08/28/2014 04:46:42","SEC","2014-00050583","DWIGHT WAY/HILLEGASS AVE"
"08/28/2014 05:17:54","SUSVEH","2014-00050584","RUSSELL ST/TELEGRAPH AVE"
"08/28/2014 05:52:16","415","2014-00050585","TELEGRAPH AVE/DURANT AVE"
"08/28/2014 06:56:21","SUSPER","2014-00050588","2500 BLOCK DANA ST"
"08/28/2014 06:56:55","BMCVIO","2014-00050587","MONTEREY AVE/HOPKINS ST"
"08/28/2014 06:58:30","1194","2014-00050586","2500 BLOCK TELEGRAPH AVE"
"08/28/2014 06:59:04","PRKVIO","2014-00050591","1300 BLOCK ADDISON ST"
"08/28/2014 07:11:39","BMCVIO","2014-00050589","2500 BLOCK TELEGRAPH AVE"
"08/28/2014 07:11:57","BMCVIO","2014-00050590","2500 BLOCK TELEGRAPH AVE"
"08/28/2014 07:12:12","5150","2014-00050592","FOURTH ST/VIRGINIA ST"
"08/28/2014 07:30:39","TRFHAZ","2014-00050593","OXFORD ST/KITTREDGE ST"
"08/28/2014 07:41:37","10852","2014-00050595","2700 BLOCK SHATTUCK AVE"
"08/28/2014 07:44:01","SEC","2014-00050594","800 BLOCK REGAL RD"
"08/28/2014 07:57:04","602L","2014-00050597","2700 BLOCK TELEGRAPH AVE"
"08/28/2014 07:59:05","484","2014-00050596","2200 BLOCK SEVENTH ST"
"08/28/2014 08:14:41","PRKVIO","2014-00050598","1300 BLOCK ROSE ST"
"08/28/2014 08:22:02","1124",,"1100 BLOCK HARRISON ST"
"08/28/2014 08:37:05","602L","2014-00050599","2300 BLOCK PARKER ST"
"08/28/2014 08:46:07","FLAG","2014-00050600","ALLSTON WAY/MCKINLEY AVE"
"08/28/2014 08:57:47","A911","2014-00050602","1700 BLOCK FIFTH ST"
"08/28/2014 08:58:32","FLAG","2014-00050601","CALIFORNIA ST/ALCATRAZ AVE"
"08/28/2014 09:08:28","314","2014-00050603","DANA ST/DURANT AVE"
"08/28/2014 09:16:31","1124","2014-00050604","1700 BLOCK SAN PABLO AVE"
"08/28/2014 09:18:39","W911","2014-00050605","1500 BLOCK SHATTUCK AVE"
"08/28/2014 09:28:22","ADVICE","2014-00050610","2200 BLOCK MILVIA ST"
"08/28/2014 09:38:47","5150","2014-00050607","2800 BLOCK COLLEGE AVE"
"08/28/2014 09:42:32","SEC","2014-00050606","2000 BLOCK DWIGHT WAY"
"08/28/2014 09:48:15","T","2014-00050609","2100 BLOCK PRINCE ST"
"08/28/2014 09:48:15","T","2014-00050608","2100 BLOCK PRINCE ST"
"08/28/2014 09:48:21","484","2014-00050611","2000 BLOCK KITTREDGE ST"
"08/28/2014 09:55:45","594","2014-00050614","1400 BLOCK ADDISON ST"
"08/28/2014 10:06:51","1033A","2014-00050612","900 BLOCK REGAL RD"
"08/28/2014 10:16:53","1194","2014-00050613"," / "
"08/28/2014 10:18:41","1182","2014-00050617","2700 BLOCK BANCROFT WAY"
"08/28/2014 10:47:39","ADVICE","2014-00050615","SACRAMENTO ST/CEDAR ST"
"08/28/2014 10:52:14","1042","2014-00050616","1600 BLOCK MILVIA ST"
"08/28/2014 10:59:41","A911","2014-00050620","2500 BLOCK NINTH ST"
"08/28/2014 11:04:30","484","2014-00050618","2400 BLOCK SHATTUCK AVE"
"08/28/2014 11:06:26","BMCVIO","2014-00050628","SACRAMENTO ST/UNIVERSITY AVE"
"08/28/2014 11:10:04","T","2014-00050619","CALIFORNIA ST/TYLER ST"
"08/28/2014 11:11:22","SEC","2014-00050670","1111 EIGHTH ST / "
"08/28/2014 11:25:33","T","2014-00050621","STANTON ST/ASHBY AVE / "
"08/28/2014 11:27:19","1042","2014-00050622","1700 BLOCK UNIVERSITY AVE"
"08/28/2014 11:29:30","459","2014-00050645","2100 BLOCK HASTE ST"
"08/28/2014 11:29:53","BMCVIO","2014-00050643","1900 BLOCK SAN PABLO AVE"
"08/28/2014 11:30:01","459","2014-00050626","1100 BLOCK OXFORD ST"
"08/28/2014 11:42:35","484","2014-00050624","900 BLOCK BANCROFT WAY"
"08/28/2014 11:43:14","1124","2014-00050625","3000 BLOCK ELLIS ST"
"08/28/2014 11:44:04","SEC","2014-00050623","2200 BLOCK SHATTUCK AVE"
"08/28/2014 11:49:20","415E","2014-00050632","DWIGHT WAY/TELEGRAPH AVE"
"08/28/2014 11:54:15","1124","2014-00050627","1800 BLOCK SACRAMENTO ST"
"08/28/2014 12:06:09","1042","2014-00050636","1100 BLOCK SPRUCE ST"
"08/28/2014 12:09:31","AID","2014-00050629","2100 BLOCK M L KING JR WAY"
"08/28/2014 12:12:31","530 5","2014-00050635","1100 BLOCK CARLETON ST"
"08/28/2014 12:14:14","PRKVIO","2014-00050639","1800 BLOCK ADDISON ST"
"08/28/2014 12:14:24","602L","2014-00050634","1400 BLOCK PERALTA AVE"
"08/28/2014 12:15:19","A911","2014-00050630","2200 BLOCK SHATTUCK AVE"
"08/28/2014 12:15:59","AID","2014-00050637","2100 BLOCK M L KING JR WAY"
"08/28/2014 12:22:35","W911","2014-00050631","2000 BLOCK BANCROFT WAY"
"08/28/2014 12:31:18","PRKVIO",,"1700 BLOCK SAN PABLO AVE"
"08/28/2014 12:35:14","T","2014-00050633","TELE/DERBY / "
"08/28/2014 12:53:18","23103","2014-00050646","UNIVERSITY AVE/M L KING JR WAY"
"08/28/2014 12:54:34","300WI","2014-00050648","2400 BLOCK ASHBY AVE"
"08/28/2014 13:04:32","1042","2014-00050638"," / "
"08/28/2014 13:10:20","LOST","2014-00050641","SAN PABLO AVE/ASHBY AVE"
"08/28/2014 13:10:46","1182","2014-00050640","ASHBY AVE/DOMINGO AVE"
"08/28/2014 13:16:32","10852","2014-00050678","3000 BLOCK CLAREMONT AVE"
"08/28/2014 13:22:56","415","2014-00050642","1200 BLOCK THE ALAMEDA "
"08/28/2014 13:35:42","1124","2014-00050647","1300 BLOCK ROSE ST"
"08/28/2014 13:36:32","PRKVIO","2014-00050662","1600 BLOCK TACOMA AVE"
"08/28/2014 13:37:35","SUSCIR","2014-00050650","HOPKINS ST/CURTIS ST"
"08/28/2014 13:38:31","T","2014-00050649","ADDISON ST/GRANT ST"
"08/28/2014 13:43:28","PRKVIO","2014-00050651","1100 BLOCK PARKER ST"
"08/28/2014 13:50:17","484","2014-00050654","800 BLOCK REGAL RD"
"08/28/2014 14:01:38","1194","2014-00050652"," / "
"08/28/2014 14:02:59","W911","2014-00050673","1900 BLOCK UNIVERSITY AVE"
"08/28/2014 14:03:49","PRKVIO","2014-00050680","SHATTUCK AVE/DERBY ST"
"08/28/2014 14:08:02","T","2014-00050653","DELA/ACTON / "
"08/28/2014 14:08:42","415","2014-00050655","TELEGRAPH AVE/CHANNING WAY"
"08/28/2014 14:15:57","SEARCH","2014-00050656","1000 BLOCK UNIVERSITY AVE"
"08/28/2014 14:26:41","W911","2014-00050677","1100 BLOCK UNIVERSITY AVE"
"08/28/2014 14:27:25","DBF","2014-00050657","2000 BLOCK DELAWARE ST"
"08/28/2014 14:31:10","1194","2014-00050658","1900 BLOCK ADDISON ST"
"08/28/2014 14:32:38","20002","2014-00050659","2500 BLOCK REGENT ST"
"08/28/2014 14:39:00","1053","2014-00050661","3000 BLOCK TELEGRAPH AVE"
"08/28/2014 14:40:35","1194","2014-00050660","2100 BLOCK SHATTUCK AVE"
"08/28/2014 14:55:11","1194","2014-00050663","2100 BLOCK SHATTUCK AVE"
"08/28/2014 14:57:19","1194","2014-00050664","2600 BLOCK TELEGRAPH AVE"
"08/28/2014 14:58:03","A911","2014-00050665","300 BLOCK NORTHGATE AVE"
"08/28/2014 15:14:35","415","2014-00050668","1500 BLOCK UNIVERSITY AVE"
"08/28/2014 15:20:50","FLAG","2014-00050666","300 BLOCK NORTHGATE AVE"
"08/28/2014 15:29:47","PRKVIO","2014-00050667","1700 BLOCK EASTSHORE HWY"
"08/28/2014 15:30:36","PRKVIO","2014-00050705","ROSE ST/SHATTUCK AVE"
"08/28/2014 15:37:25","602L","2014-00050694","1900 BLOCK HASTE ST"
"08/28/2014 15:41:12","NEW",,"2500 BLOCK MCGEE AVE"
"08/28/2014 15:41:29","W911","2014-00050675","1600 BLOCK OREGON ST"
"08/28/2014 15:41:53","602L","2014-00050672","1900 BLOCK HEARST AVE"
"08/28/2014 15:45:11","ADVICE","2014-00050682","400 BLOCK ARLINGTON AVE"
"08/28/2014 15:45:59","TRFHAZ","2014-00050676","SHATTUCK AVE/DWIGHT WAY"
"08/28/2014 15:47:53","5150","2014-00050679","1300 BLOCK TENTH ST"
"08/28/2014 15:49:31","1124",,"1600 BLOCK HOPKINS ST"
"08/28/2014 15:51:54","W911","2014-00050674","1600 BLOCK OREGON ST"
"08/28/2014 15:54:53","SUSVEH","2014-00050686","1300 BLOCK ROSE ST"
"08/28/2014 15:58:50","SUSCIR","2014-00050691","900 BLOCK DELAWARE ST"
"08/28/2014 16:01:25","T","2014-00050669","TELEGRAPH AVE/DERBY ST"
"08/28/2014 16:12:16","1194","2014-00050671","PARKER ST/TELEGRAPH AVE"
"08/28/2014 16:21:00","415E","2014-00050688","SHATTUCK AVE/HASTE ST"
"08/28/2014 16:21:26","415","2014-00050681","UNIVERSITY AVE/SHATTUCK AVE"
"08/28/2014 16:28:19","602L","2014-00050685","2400 BLOCK PARKER ST"
"08/28/2014 16:36:27","415","2014-00050684"," / "
"08/28/2014 16:38:30","T","2014-00050683","SHATTUCK AVE/HEARST AVE"
"08/28/2014 16:43:50","A911","2014-00050690","2100 BLOCK JEFFERSON AVE"
"08/28/2014 16:46:33","484","2014-00050687","2100 BLOCK CENTER ST"
"08/28/2014 16:48:31","1194","2014-00050689","2500 BLOCK TELEGRAPH AVE"
"08/28/2014 16:49:12","23103","2014-00050700"," / "
"08/28/2014 16:59:35","PCVIO","2014-00050701","700 BLOCK UNIVERSITY AVE"
"08/28/2014 16:59:39","T",,"M L KING JR WAY/WARD ST"
"08/28/2014 17:00:00","T","2014-00050692","M L KING JR WAY/WARD ST"
"08/28/2014 17:00:03","SUSPER","2014-00050693","1300 BLOCK SECOND ST"
"08/28/2014 17:03:16","PRKVIO",,"400 BLOCK TUNNEL RD"
"08/28/2014 17:04:20","W911","2014-00050704","2600 BLOCK TENTH ST"
"08/28/2014 17:06:56","PRKVIO","2014-00050698","900 BLOCK MODOC ST"
"08/28/2014 17:11:15","1194","2014-00050695","2900 BLOCK STANTON ST"
"08/28/2014 17:11:28","SEC","2014-00050696"," / "
"08/28/2014 17:12:51","415","2014-00050697","1700 BLOCK RUSSELL ST"
